Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'eval_loss': 0.540844202041626, 'eval_accuracy': 0.8892816969307408, 'eval_precision': 0.8552969969803443, 'eval_recall': 0.8194569352347632, 'eval_f1': 0.8325606248688867, 'eval_mean_confidence': 0.9611659646034241, 'eval_mean_uncertainty': 0.10575113445520401, 'eval_mean_confidence_gap': 0.9305317997932434, 'eval_runtime': 37.4072, 'eval_samples_per_second': 15.532, 'eval_steps_per_second': 1.951, 'epoch': 6.0}
{'loss': 0.0413, 'grad_norm': 0.7050069570541382, 'learning_rate': 7.97938144329897e-05, 'epoch': 6.01}
{'loss': 0.0321, 'grad_norm': 2.8704428672790527, 'learning_rate': 7.910652920962199e-05, 'epoch': 6.05}
{'loss': 0.0189, 'grad_norm': 0.5273135304450989, 'learning_rate': 7.841924398625429e-05, 'epoch': 6.08}
{'loss': 0.0349, 'grad_norm': 2.340479850769043, 'learning_rate': 7.77319587628866e-05, 'epoch': 6.12}
{'loss': 0.0287, 'grad_norm': 1.9489332437515259, 'learning_rate': 7.704467353951891e-05, 'epoch': 6.15}
{'loss': 0.0229, 'grad_norm': 1.9498854875564575, 'learning_rate': 7.635738831615121e-05, 'epoch': 6.19}
{'loss': 0.0371, 'grad_norm': 3.39200496673584, 'learning_rate': 7.567010309278351e-05, 'epoch': 6.22}
{'loss': 0.0207, 'grad_norm': 1.7573819160461426, 'learning_rate': 7.498281786941581e-05, 'epoch': 6.25}
{'loss': 0.0296, 'grad_norm': 3.4747798442840576, 'learning_rate': 7.429553264604811e-05, 'epoch': 6.29}
{'loss': 0.0416, 'grad_norm': 0.9477206468582153, 'learning_rate': 7.360824742268042e-05, 'epoch': 6.32}
{'loss': 0.0384, 'grad_norm': 5.008545398712158, 'learning_rate': 7.292096219931271e-05, 'epoch': 6.36}
{'loss': 0.0266, 'grad_norm': 1.8729832172393799, 'learning_rate': 7.223367697594501e-05, 'epoch': 6.39}
{'loss': 0.0232, 'grad_norm': 0.7872467041015625, 'learning_rate': 7.154639175257733e-05, 'epoch': 6.43}
{'loss': 0.0514, 'grad_norm': 1.6398197412490845, 'learning_rate': 7.085910652920963e-05, 'epoch': 6.46}
